,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,43.0,43.0,43.0,43.0,43.0,51.0
mean,2.1511627906976742,2.563953488372093,2.994186046511628,1.186046511627907,1.2674418604651163,3.588235294117647
std,1.4891867536188776,2.2267937013251484,2.1852375184820567,0.972987886027668,2.0246952657519506,3.8528637172276694
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.275,0.275,0.0,0.025000000000000022,0.25
25%,1.25,1.0,1.375,0.5,0.5,0.75
50%,2.0,2.0,2.5,1.0,0.75,2.75
68%,2.6400000000000006,3.0,3.75,1.5,1.1400000000000006,4.25
90%,4.200000000000001,5.150000000000002,5.5,2.450000000000001,2.25,9.25
95%,5.25,7.299999999999997,6.475,2.9749999999999996,2.9749999999999996,12.375
99%,5.395,9.304999999999996,8.739999999999995,3.789999999999999,8.944999999999983,14.75
99.7%,5.468500000000001,9.966500000000005,9.622000000000007,3.937000000000001,11.958500000000024,15.975000000000005
max,5.5,10.25,10.0,4.0,13.25,16.5
